tɹækɪŋ	tʁakɪŋ	tɾakɪŋ	Tracking	x	Mithilfe von Erkennungs Tracking Auditing und Managementfunktionen ist er in der Lage ein chaotisches Umfeld so zu verändern dass es für das Unternehmen einen echten Wert darstellt
ɔdɪtɪŋ	aoditɪŋ	aʊditɪŋ	Auditing	x	Mithilfe von Erkennungs Tracking Auditing und Managementfunktionen ist er in der Lage ein chaotisches Umfeld so zu verändern dass es für das Unternehmen einen echten Wert darstellt
mɛnɪtʃməntfʊŋktionən	managəmɛntfʊŋktsɪonən	mɑnaɡeməntfʊŋktsjonən	Managementfunktionen	x	Mithilfe von Erkennungs Tracking Auditing und Managementfunktionen ist er in der Lage ein chaotisches Umfeld so zu verändern dass es für das Unternehmen einen echten Wert darstellt
kaotɪʃəs	caotɪʃəs	ʃaotɪʃəs	chaotisches	x	Mithilfe von Erkennungs Tracking Auditing und Managementfunktionen ist er in der Lage ein chaotisches Umfeld so zu verändern dass es für das Unternehmen einen echten Wert darstellt
daɐʃtɛlt	daʁʃtɛllt	daɾʃtɛlt	darstellt	x	Mithilfe von Erkennungs Tracking Auditing und Managementfunktionen ist er in der Lage ein chaotisches Umfeld so zu verändern dass es für das Unternehmen einen echten Wert darstellt
wa‍ɪt	vitə	vitə	White	x	Wie das möglich wird lesen Sie in diesem White Paper
pepɐ	papɐ	pɑpɜ	Paper	x	Wie das möglich wird lesen Sie in diesem White Paper
ybɐtsɔɪɡndə	ybɛʁtsɔɔʏgɛndə	ybɜtsɔøɡəndə	überzeugende	x	„Das war eine sehr überzeugende Leistung schnelles Kombinationshockey“ lobte Behrmann
kɔmbinatsionshɔkəʏ	kɔmbinatsɪonsɔkəy	kɔmbinatsjonshɔkaɪ	Kombinationshockey“	x	„Das war eine sehr überzeugende Leistung schnelles Kombinationshockey“ lobte Behrmann
bɛɹmən	bəhʁmann	beɾman	Behrmann	x	„Das war eine sehr überzeugende Leistung schnelles Kombinationshockey“ lobte Behrmann
hɛʁtətəst	hɛʁtətɛst	hɛɾtətəst	Härtetest	x	Im letzten Härtetest vor London bemängelte der Trainer aber noch die fehlende Konstanz
bəmɛŋltə	bəmɛŋɛltə	bəmɛŋəltə	bemängelte	x	Im letzten Härtetest vor London bemängelte der Trainer aber noch die fehlende Konstanz
steman	ʃtemann	ʃteman	Stemann	x	Nicolas Stemann steht ganz vorn
foɐn	fɔʁn	fɔɾn	vorn	x	Nicolas Stemann steht ganz vorn
tsuʃaʊɐ	tsuʃaoɐ	tsuʃaʊɜ	Zuschauer	x	Jeder Zuschauer hat den Stand der Bewältigung gewissermassen als digitales Stundenglas vor Augen und kann den Countdown von der letzten bis zur ersten Seite in Neonschrift am Bühnenrand verfolgen
ɡəvɪsɐmasn	gəvɪszɛʁmaszən	ɡəvɪsɜmasən	gewissermassen	x	Jeder Zuschauer hat den Stand der Bewältigung gewissermassen als digitales Stundenglas vor Augen und kann den Countdown von der letzten bis zur ersten Seite in Neonschrift am Bühnenrand verfolgen
diɡitaləs	dɪgitaləs	diɡitɑləs	digitales	x	Jeder Zuschauer hat den Stand der Bewältigung gewissermassen als digitales Stundenglas vor Augen und kann den Countdown von der letzten bis zur ersten Seite in Neonschrift am Bühnenrand verfolgen
ʃtʊndnɡlas	ʃtʊndɛŋlas	ʃtʊndənɡlɑs	Stundenglas	x	Jeder Zuschauer hat den Stand der Bewältigung gewissermassen als digitales Stundenglas vor Augen und kann den Countdown von der letzten bis zur ersten Seite in Neonschrift am Bühnenrand verfolgen
kaʊntdaʊn	kɔʊntdɔvn	kuntdɔvn	Countdown	x	Jeder Zuschauer hat den Stand der Bewältigung gewissermassen als digitales Stundenglas vor Augen und kann den Countdown von der letzten bis zur ersten Seite in Neonschrift am Bühnenrand verfolgen
neɔnʃʁift	neɔnstsʁɪft	neɔnʃrɪft	Neonschrift	x	Jeder Zuschauer hat den Stand der Bewältigung gewissermassen als digitales Stundenglas vor Augen und kann den Countdown von der letzten bis zur ersten Seite in Neonschrift am Bühnenrand verfolgen
bynənʁant	bynɛnʁant	bynənrant	Bühnenrand	x	Jeder Zuschauer hat den Stand der Bewältigung gewissermassen als digitales Stundenglas vor Augen und kann den Countdown von der letzten bis zur ersten Seite in Neonschrift am Bühnenrand verfolgen
fɛɐfɔlɡn	fɛɐfɔlgŋ	fɛɾfɔlɡən	verfolgen	x	Jeder Zuschauer hat den Stand der Bewältigung gewissermassen als digitales Stundenglas vor Augen und kann den Countdown von der letzten bis zur ersten Seite in Neonschrift am Bühnenrand verfolgen
vɪʁtʃaftskʁiznkɔmødi	vɪʁtstshaftskʁizɛŋkomɔʏdiə	vɪɾtʃaftskɾizənkomødi	Wirtschaftskrisenkomödie	x	Wirtschaftskrisenkomödie
bilantsn	bilantsən	bilantsən	Bilanzen	x	Um Zahlen und Bilanzen geht es in Jelineks «Wirtschaftskomödie» um kapitulierende Kleinanleger und höhnische Grossmanager um die Zocker und die Abgezockten der Wirtschaftskrise um das Platzen der Blase
dʒɛlənɪks	jelɪnɛks	jelineks	Jelineks	x	Um Zahlen und Bilanzen geht es in Jelineks «Wirtschaftskomödie» um kapitulierende Kleinanleger und höhnische Grossmanager um die Zocker und die Abgezockten der Wirtschaftskrise um das Platzen der Blase
vɪʁtʃaftskɔmødi	vɪʁtstshaftskomɔʏdiə	vɪɾtʃaftskomødi	«Wirtschaftskomödie»	x	Um Zahlen und Bilanzen geht es in Jelineks «Wirtschaftskomödie» um kapitulierende Kleinanleger und höhnische Grossmanager um die Zocker und die Abgezockten der Wirtschaftskrise um das Platzen der Blase
kapituliʁəndə	kapituliʁɛndə	kɑpitulirəndə	kapitulierende	x	Um Zahlen und Bilanzen geht es in Jelineks «Wirtschaftskomödie» um kapitulierende Kleinanleger und höhnische Grossmanager um die Zocker und die Abgezockten der Wirtschaftskrise um das Platzen der Blase
klaɪnanleɡəʁ	klaenanlegɐ	klaɪnanleɡɜ	Kleinanleger	x	Um Zahlen und Bilanzen geht es in Jelineks «Wirtschaftskomödie» um kapitulierende Kleinanleger und höhnische Grossmanager um die Zocker und die Abgezockten der Wirtschaftskrise um das Platzen der Blase
ɡʁosmɛnɛtʃeɐ	gʁɔssmanagɐ	ɡɾɔsmɛnɪdʒɜ	Grossmanager	x	Um Zahlen und Bilanzen geht es in Jelineks «Wirtschaftskomödie» um kapitulierende Kleinanleger und höhnische Grossmanager um die Zocker und die Abgezockten der Wirtschaftskrise um das Platzen der Blase
apɡətsɔktn	apgətsɔktən	apɡətsɔktən	Abgezockten	x	Um Zahlen und Bilanzen geht es in Jelineks «Wirtschaftskomödie» um kapitulierende Kleinanleger und höhnische Grossmanager um die Zocker und die Abgezockten der Wirtschaftskrise um das Platzen der Blase
platsn	platsən	platsən	Platzen	x	Um Zahlen und Bilanzen geht es in Jelineks «Wirtschaftskomödie» um kapitulierende Kleinanleger und höhnische Grossmanager um die Zocker und die Abgezockten der Wirtschaftskrise um das Platzen der Blase
dʁamatɪkəʁɪn	dʁamatikɐɪn	dɾɑmatikərɪn	Dramatikerin	x	Die österreichische Dramatikerin legt die gesamte Rezessionsrhetorik bloss
ʁetsɛsionsʁhɛtoʁik	ʁetsɛszɪonsʁetoʁik	retsɛsɪonsɾhetorɪk	Rezessionsrhetorik	x	Die österreichische Dramatikerin legt die gesamte Rezessionsrhetorik bloss
ɡʁʊntʁaʊʃn	gʁʊndʁaoʃən	ɡɾʊndɾaʊʃən	Grundrauschen	x	das Grundrauschen der Medien in endlosen ununterbrochenen Tiraden darin die managerialen Rechtfertigungsfloskeln in zynischen Redeschwällen und die Wut und Verzagtheit derer die von sich sagen «Wir verzeichnen Verluste und werden gelöscht»
ɛntlozn	ɛntlosən	ɛntlozən	endlosen	x	das Grundrauschen der Medien in endlosen ununterbrochenen Tiraden darin die managerialen Rechtfertigungsfloskeln in zynischen Redeschwällen und die Wut und Verzagtheit derer die von sich sagen «Wir verzeichnen Verluste und werden gelöscht»
ʊnʊntɐbʁɔxənən	ʊnʊntɛʁbʁɔxənən	ʊnʊntɜbɾɔxənən	ununterbrochenen	x	das Grundrauschen der Medien in endlosen ununterbrochenen Tiraden darin die managerialen Rechtfertigungsfloskeln in zynischen Redeschwällen und die Wut und Verzagtheit derer die von sich sagen «Wir verzeichnen Verluste und werden gelöscht»
tiʁadn	tiʁadən	tirɑdən	Tiraden	x	das Grundrauschen der Medien in endlosen ununterbrochenen Tiraden darin die managerialen Rechtfertigungsfloskeln in zynischen Redeschwällen und die Wut und Verzagtheit derer die von sich sagen «Wir verzeichnen Verluste und werden gelöscht»
mɛnɛtʃeɐialɛn	manageʁialən	mɛnɪdʒɜriɑlən	managerialen	x	das Grundrauschen der Medien in endlosen ununterbrochenen Tiraden darin die managerialen Rechtfertigungsfloskeln in zynischen Redeschwällen und die Wut und Verzagtheit derer die von sich sagen «Wir verzeichnen Verluste und werden gelöscht»
ʁɛctfɛʁtɪɡʊŋsfloskeln	ʁɛctfɛʁtɪgʊŋsflɔskɛln	rɛctfɛɾtɪɡʊŋsflɔskəln	Rechtfertigungsfloskeln	x	das Grundrauschen der Medien in endlosen ununterbrochenen Tiraden darin die managerialen Rechtfertigungsfloskeln in zynischen Redeschwällen und die Wut und Verzagtheit derer die von sich sagen «Wir verzeichnen Verluste und werden gelöscht»
tsynɪʃn	tsynɪʃən	tsynɪʃən	zynischen	x	das Grundrauschen der Medien in endlosen ununterbrochenen Tiraden darin die managerialen Rechtfertigungsfloskeln in zynischen Redeschwällen und die Wut und Verzagtheit derer die von sich sagen «Wir verzeichnen Verluste und werden gelöscht»
ʁedəʃvɛlən	ʁedɛʃvɛllən	redɛʃvɛlən	Redeschwällen	x	das Grundrauschen der Medien in endlosen ununterbrochenen Tiraden darin die managerialen Rechtfertigungsfloskeln in zynischen Redeschwällen und die Wut und Verzagtheit derer die von sich sagen «Wir verzeichnen Verluste und werden gelöscht»
fɛɐtsakthaɪt	fɛɐtsaktəit	fɛɾtsaktaɪt	Verzagtheit	x	das Grundrauschen der Medien in endlosen ununterbrochenen Tiraden darin die managerialen Rechtfertigungsfloskeln in zynischen Redeschwällen und die Wut und Verzagtheit derer die von sich sagen «Wir verzeichnen Verluste und werden gelöscht»
deʁɐ	dɐɐ	dɛrɜ	derer	x	das Grundrauschen der Medien in endlosen ununterbrochenen Tiraden darin die managerialen Rechtfertigungsfloskeln in zynischen Redeschwällen und die Wut und Verzagtheit derer die von sich sagen «Wir verzeichnen Verluste und werden gelöscht»
lipstəs	libstəs	libstəs	liebstes	x	Die Sicherheit das Geld das Risiko und liebstes und letztes Wort des Dramas das Nichts
ybɐtʁʊmpft	ybɛʁtʁʊmpft	ybɜtɾʊmpft	übertrumpft	x	Das Blendwerk ihrer Sprache wird ironisch übertrumpft vom durchschaubaren Illusionismus der Bühnenkunst
dʊʁcʃaʊbaʁən	dʊʁtsʃaobaʁən	d??cʃaʊbɑrən	durchschaubaren	x	Das Blendwerk ihrer Sprache wird ironisch übertrumpft vom durchschaubaren Illusionismus der Bühnenkunst
ɪluzionɪsmus	ɪlluzɪonɪsmʊs	ɪluzɪonɪsmʊs	Illusionismus	x	Das Blendwerk ihrer Sprache wird ironisch übertrumpft vom durchschaubaren Illusionismus der Bühnenkunst
humoɐ	humoʁ	humoɾ	Humor	x	Zynismus und Humor
aʊffyʁʊŋ	aoffyʁʊŋ	aʊffyrʊŋ	Aufführung	x	Die Aufführung am Kölner Schauspielhaus gibt sich ganz antiautoritär
antiaʊtoʁitɛɐ	antiaotoʁitɛʁ	antiaʊtoritɛɾ	antiautoritär	x	Die Aufführung am Kölner Schauspielhaus gibt sich ganz antiautoritär
tsuʃaʊɐʁaʊm	tsuʃaoɐʁaom	tsuʃaʊɜraʊm	Zuschauerraum	x	Gleich zu Beginn erklärt der Regisseur die Türen zum Zuschauerraum blieben während der pausenlosen Vorstellung geöffnet Hinaus und Hineingehen während der Vorstellung wie auch Essen und Trinken seien durchaus gestattet
blibm	blibən	blibən	blieben	x	Gleich zu Beginn erklärt der Regisseur die Türen zum Zuschauerraum blieben während der pausenlosen Vorstellung geöffnet Hinaus und Hineingehen während der Vorstellung wie auch Essen und Trinken seien durchaus gestattet
paʊznlozn	paozənlosən	paʊzənlozən	pausenlosen	x	Gleich zu Beginn erklärt der Regisseur die Türen zum Zuschauerraum blieben während der pausenlosen Vorstellung geöffnet Hinaus und Hineingehen während der Vorstellung wie auch Essen und Trinken seien durchaus gestattet
fɛʁtɪɡə	fɛʁtɪgə	fɛɾtɪɡə	fertige	x	Die Aufführung sei keine fertige Inszenierung sondern eine «Textverarbeitungs oder Umsetzungsmaschine» im Grunde also im Stadium einer fortgeschrittenen Improvisation
ɪnstseniʁʊŋ	ɪnstsəniɐʊŋ	ɪnstsenirʊŋ	Inszenierung	x	Die Aufführung sei keine fertige Inszenierung sondern eine «Textverarbeitungs oder Umsetzungsmaschine» im Grunde also im Stadium einer fortgeschrittenen Improvisation
tɛkstfɛɐaʁbaɪtʊŋs	tɛkstvɛʁaʁbəitʊŋs	tɛkstferaɾbaɪtʊŋs	«Textverarbeitungs	x	Die Aufführung sei keine fertige Inszenierung sondern eine «Textverarbeitungs oder Umsetzungsmaschine» im Grunde also im Stadium einer fortgeschrittenen Improvisation
ʊmzɛtsʊŋsmaʃɪne	ʊmzɛtsʊŋsmaʃɪnə	ʊmzɛtsʊŋsmaʃinə	Umsetzungsmaschine»	x	Die Aufführung sei keine fertige Inszenierung sondern eine «Textverarbeitungs oder Umsetzungsmaschine» im Grunde also im Stadium einer fortgeschrittenen Improvisation
ʃtadiʊm	ʃtadɪum	ʃtɑdiʊm	Stadium	x	Die Aufführung sei keine fertige Inszenierung sondern eine «Textverarbeitungs oder Umsetzungsmaschine» im Grunde also im Stadium einer fortgeschrittenen Improvisation
fɔʁtɡəʃʁɪtənən	fɔʁtgəʃʁɪtənən	fɔɾtɡɛʃrɪtənən	fortgeschrittenen	x	Die Aufführung sei keine fertige Inszenierung sondern eine «Textverarbeitungs oder Umsetzungsmaschine» im Grunde also im Stadium einer fortgeschrittenen Improvisation
ɪmpʁovizatsion	ɪmpʁovizatsɪon	ɪmpɾovizatsjon	Improvisation	x	Die Aufführung sei keine fertige Inszenierung sondern eine «Textverarbeitungs oder Umsetzungsmaschine» im Grunde also im Stadium einer fortgeschrittenen Improvisation
tsuɡəkʁamt	tsugəkʁamt	tsuɡɛkɾamt	zugekramt	x	So sieht auch die Bühne aus zugekramt mit Requisiten die wie zufällig herumstehen darüber eine fast herabstürzende nur durch Stahlträger gestützte Decke Bühnenbild Katrin Nottrodt
ʁekvizitn	ʁekvuizitən	rekvizitən	Requisiten	x	So sieht auch die Bühne aus zugekramt mit Requisiten die wie zufällig herumstehen darüber eine fast herabstürzende nur durch Stahlträger gestützte Decke Bühnenbild Katrin Nottrodt
hɛʁapʃtʏʁtsndə	hɛʁapʃtʏʁtsɛndə	hɛrabʃtyɾtsəndə	herabstürzende	x	So sieht auch die Bühne aus zugekramt mit Requisiten die wie zufällig herumstehen darüber eine fast herabstürzende nur durch Stahlträger gestützte Decke Bühnenbild Katrin Nottrodt
ʃtaltʁɛɡɐ	ʃtaltʁɛgɐ	ʃtɑltɾɛɡɜ	Stahlträger	x	So sieht auch die Bühne aus zugekramt mit Requisiten die wie zufällig herumstehen darüber eine fast herabstürzende nur durch Stahlträger gestützte Decke Bühnenbild Katrin Nottrodt
ɡəʃtʏtstə	gəʃtʏtstə	ɡəʃtytstə	gestützte	x	So sieht auch die Bühne aus zugekramt mit Requisiten die wie zufällig herumstehen darüber eine fast herabstürzende nur durch Stahlträger gestützte Decke Bühnenbild Katrin Nottrodt
katʁin	katʁɪn	katɾɪn	Katrin	x	So sieht auch die Bühne aus zugekramt mit Requisiten die wie zufällig herumstehen darüber eine fast herabstürzende nur durch Stahlträger gestützte Decke Bühnenbild Katrin Nottrodt
nottʁott	nɔttʁɔt	nɔtɾɔt	Nottrodt	x	So sieht auch die Bühne aus zugekramt mit Requisiten die wie zufällig herumstehen darüber eine fast herabstürzende nur durch Stahlträger gestützte Decke Bühnenbild Katrin Nottrodt
ɪmpʁovɪsatoʁiʃn	ɪmpʁovizatoʁɪʃən	ɪmpɾovizatorɪʃən	improvisatorischen	x	Dem vermeintlich improvisatorischen leichthändigen Zugriff entspricht auch Stemanns sanfte Aufhellung der dramatischen Grundnuance
laɪcthɛndɪɡn	laectɛndɪgən	laɪctɛndɪɡən	leichthändigen	x	Dem vermeintlich improvisatorischen leichthändigen Zugriff entspricht auch Stemanns sanfte Aufhellung der dramatischen Grundnuance
tsuɡʁɪf	tsugʁɪff	tsuɡɾɪf	Zugriff	x	Dem vermeintlich improvisatorischen leichthändigen Zugriff entspricht auch Stemanns sanfte Aufhellung der dramatischen Grundnuance
stemans	ʃtemanns	ʃtemans	Stemanns	x	Dem vermeintlich improvisatorischen leichthändigen Zugriff entspricht auch Stemanns sanfte Aufhellung der dramatischen Grundnuance
dʁamatɪʃn	dʁamatɪʃən	dɾamɑtɪʃən	dramatischen	x	Dem vermeintlich improvisatorischen leichthändigen Zugriff entspricht auch Stemanns sanfte Aufhellung der dramatischen Grundnuance
ɡʁʊntnuanke	gʁʊndnuantsə	ɡɾʊndnyɑsə	Grundnuance	x	Dem vermeintlich improvisatorischen leichthändigen Zugriff entspricht auch Stemanns sanfte Aufhellung der dramatischen Grundnuance
daʊɐton	daʊɛɐton	daʊɜton	Dauerton	x	Er entschärft den Dauerton von Zynismus und Hohn im Stück manchmal bis an den Rand der Verharmlosung folgt aber Jelineks sardonischem Humor
zaʁdonɪʃm	zaʁdonɪʃəm	zaɾdonɪʃəm	sardonischem	x	Er entschärft den Dauerton von Zynismus und Hohn im Stück manchmal bis an den Rand der Verharmlosung folgt aber Jelineks sardonischem Humor
fødeʁatsion	fɔʏdeʁatsɪon	føderatsjon	Föderation	x	Als der Chef der Kommission Barroso jüngst die Weiterentwicklung der in eine Föderation skizzierte nahm davon kaum jemand Notiz
skɪtsiɐtə	skɪtsiʁtə	skɪtsiɾtə	skizzierte	x	Als der Chef der Kommission Barroso jüngst die Weiterentwicklung der in eine Föderation skizzierte nahm davon kaum jemand Notiz
alɛʁɡɪkɐ	allɛʁgikɐ	alɜɡɪkɜ	Allergiker	x	Britische Allergiker schrien auf sonst blieb es eher ruhig
ʁuɪk	ʁuɪc	ruɪc	ruhig	x	Britische Allergiker schrien auf sonst blieb es eher ruhig
ʁatspʁɛsidɛnt	ʁatspʁɛzidɛnt	ratʃpɾɛzidɛnt	Ratspräsident	x	Auch der Ratspräsident Van Rompuy blickte kürzlich nach vorn und stellte fest ein «qualitativer Sprung» sei fällig
ʁompuʏ	ʁɔmpuy	rɔmpui	Rompuy	x	Auch der Ratspräsident Van Rompuy blickte kürzlich nach vorn und stellte fest ein «qualitativer Sprung» sei fällig
kvalitativɐ	kvualitatifɐ	kvɑlitativɜ	«qualitativer	x	Auch der Ratspräsident Van Rompuy blickte kürzlich nach vorn und stellte fest ein «qualitativer Sprung» sei fällig
fɛlɪk	fɛllɪc	fɛlɪc	fällig	x	Auch der Ratspräsident Van Rompuy blickte kürzlich nach vorn und stellte fest ein «qualitativer Sprung» sei fällig
aʊssɛnminɪsteɐ	aoszɛnminɪstɐ	aʊszɛnminɪstɜ	Aussenminister	x	Am Dienstag nun hat eine vom deutschen Aussenminister Westerwelle angeregte «Zukunftsgruppe» Vorschläge publiziert wie Europa in eine globale Gestaltungskraft zu verwandeln sei
anɡəʁektə	angəʁɛktə	anɡərektə	angeregte	x	Am Dienstag nun hat eine vom deutschen Aussenminister Westerwelle angeregte «Zukunftsgruppe» Vorschläge publiziert wie Europa in eine globale Gestaltungskraft zu verwandeln sei
tsukʊnftsɡʁuppe	tsukʊnftzgʁʊppə	tsukʊnftsɡɾʊpə	«Zukunftsgruppe»	x	Am Dienstag nun hat eine vom deutschen Aussenminister Westerwelle angeregte «Zukunftsgruppe» Vorschläge publiziert wie Europa in eine globale Gestaltungskraft zu verwandeln sei
ɡlobalə	globalə	ɡlobɑlə	globale	x	Am Dienstag nun hat eine vom deutschen Aussenminister Westerwelle angeregte «Zukunftsgruppe» Vorschläge publiziert wie Europa in eine globale Gestaltungskraft zu verwandeln sei
ɡəʃtaltʊŋskʁaft	gəʃtaltʊŋskʁaft	ɡəʃtaltʊŋskɾaft	Gestaltungskraft	x	Am Dienstag nun hat eine vom deutschen Aussenminister Westerwelle angeregte «Zukunftsgruppe» Vorschläge publiziert wie Europa in eine globale Gestaltungskraft zu verwandeln sei
ɡəmaɪnzamə	gəməɪnzalə	ɡəmaɪnzɑmə	gemeinsame	x	Der Vorschlag etwa die gemeinsame Sicherheitspolitik der könnte dereinst in der Bildung einer europäischen Armee münden wurde nicht von allen mitgetragen
zɪcɐhaɪtspolitik	zɪcɛʁaetspolitik	zɪcɜhaɪtspolitik	Sicherheitspolitik	x	Der Vorschlag etwa die gemeinsame Sicherheitspolitik der könnte dereinst in der Bildung einer europäischen Armee münden wurde nicht von allen mitgetragen
deɐaɪnst	deʁaenst	deraɪnst	dereinst	x	Der Vorschlag etwa die gemeinsame Sicherheitspolitik der könnte dereinst in der Bildung einer europäischen Armee münden wurde nicht von allen mitgetragen
mɪtɡətʁaɡn	mɪtgətʁagən	mɪtɡətɾɑɡən	mitgetragen	x	Der Vorschlag etwa die gemeinsame Sicherheitspolitik der könnte dereinst in der Bildung einer europäischen Armee münden wurde nicht von allen mitgetragen
fɛɐmaɪdət	fɛɐmaedət	fɛɾmaɪdət	vermeidet	x	Der Bericht nennt kein Endziel und vermeidet potenziell anstössige Schlagworte
anstøssɪɡə	anʃtœszɪgə	anʃtœsɪɡə	anstössige	x	Der Bericht nennt kein Endziel und vermeidet potenziell anstössige Schlagworte
kantɪk	kantɪc	kantɪc	kantig	x	Doch die Vorschläge sind kantig
fɛɐmɪndɐn	fɛɐmɪndɛʁn	fɛɾmɪndɜn	vermindern	x	Sie zielen darauf interne Widerstände zu vermindern die demokratische Legitimierung von Institutionen und Beschlüssen zu verbessern sowie jenen Ländern die sich stärker verschränken wollen den Weg freizuräumen
leɡitimiɐʊŋ	legitimiʁʊŋ	leɡitimirʊŋ	Legitimierung	x	Sie zielen darauf interne Widerstände zu vermindern die demokratische Legitimierung von Institutionen und Beschlüssen zu verbessern sowie jenen Ländern die sich stärker verschränken wollen den Weg freizuräumen
bəʃlʏsn	bəʃlʏszən	bəʃlysən	Beschlüssen	x	Sie zielen darauf interne Widerstände zu vermindern die demokratische Legitimierung von Institutionen und Beschlüssen zu verbessern sowie jenen Ländern die sich stärker verschränken wollen den Weg freizuräumen
fɛɐʃʁɛŋkn	fɛɐʃʁɛŋkən	fɛɾʃrɛŋkən	verschränken	x	Sie zielen darauf interne Widerstände zu vermindern die demokratische Legitimierung von Institutionen und Beschlüssen zu verbessern sowie jenen Ländern die sich stärker verschränken wollen den Weg freizuräumen
fʁaɪtsuʁɔɪmən	fʁaetsuʁɔɔʏmən	fraɪtsurɔømən	freizuräumen	x	Sie zielen darauf interne Widerstände zu vermindern die demokratische Legitimierung von Institutionen und Beschlüssen zu verbessern sowie jenen Ländern die sich stärker verschränken wollen den Weg freizuräumen
fɛɐʃidntlɪc	fɛɐʃidɛntlɪc	fɛɾʃidəntlɪc	verschiedentlich	x	So soll das Konsensprinzip verschiedentlich durch Mehrheitsentscheide ersetzt werden auch für Änderungen der Verträge
meɐhaɪtsɛntʃaɪdə	meʁaetzɛntʃaedə	meɾhaɪtzɛntʃaɪdə	Mehrheitsentscheide	x	So soll das Konsensprinzip verschiedentlich durch Mehrheitsentscheide ersetzt werden auch für Änderungen der Verträge
ʊntɐʃtɛlt	ʊntɛʁstɛllt	ʊntɜʃtɛlt	unterstellt	x	Die Erweiterung der bliebe dem Konsens unterstellt
ɡəzɛtsɡebʊŋsfɛɐfaʁən	gəzɛtsgebʊŋsvɛʁfaʁən	ɡəzɛtsɡebʊŋzfɛɾfɑrən	Gesetzgebungsverfahren	x	Das Europäische Parlament könnte nach den Ideen der Gruppe das Recht bekommen Gesetzgebungsverfahren zu initiieren
initsiiʁən	initiiʁen	initiirən	initiieren	x	Das Europäische Parlament könnte nach den Ideen der Gruppe das Recht bekommen Gesetzgebungsverfahren zu initiieren
bəʃtʁebns	bəʃtʁebɛns	bəʃtɾebəns	Bestrebens	x	Das wäre Teil des Bestrebens wirksame Gewaltenteilung einzurichten
ɡəvaltntaɪlʊŋ	gəvaltɛntəilʊŋ	ɡəvaltɛntaɪlʊŋ	Gewaltenteilung	x	Das wäre Teil des Bestrebens wirksame Gewaltenteilung einzurichten
aɪntsuʁɪctn	aentsuʁɪctən	aɪntsurɪctən	einzurichten	x	Das wäre Teil des Bestrebens wirksame Gewaltenteilung einzurichten
kɔmɪsionspʁɛzidɛntn	kɔmmɪszɪonspʁɛzidɛntən	kɔmɪsɪonʃpɾɛzidɛntən	Kommissionspräsidenten	x	Ebenso läge die direkte Wahl des Kommissionspräsidenten auf dem Tisch sowie dessen Befugnis die Mitglieder seiner «europäischen Regierung» selbst zu bestimmen
ɔɪʁopɛɪʃn	ɔɔʏʁopɛɪʃən	ɔøropɛɪʃən	«europäischen	x	Ebenso läge die direkte Wahl des Kommissionspräsidenten auf dem Tisch sowie dessen Befugnis die Mitglieder seiner «europäischen Regierung» selbst zu bestimmen
ʁeɡiʁʊŋ	ʁegiɐʊŋ	reɡirʊŋ	Regierung»	x	Ebenso läge die direkte Wahl des Kommissionspräsidenten auf dem Tisch sowie dessen Befugnis die Mitglieder seiner «europäischen Regierung» selbst zu bestimmen
sclisslɪc	ʃlisslɪc	ʃlislɪc	Schliesslich	x	Schliesslich sei im eine zweite Kammer für die Vertretung der Mitgliedländer denkbar
kamɐ	kammɐ	kamɜ	Kammer	x	Schliesslich sei im eine zweite Kammer für die Vertretung der Mitgliedländer denkbar
mɪtɡlitlɛndɐ	mɪtglidlɛndɐ	mɪtɡlidlɛndɜ	Mitgliedländer	x	Schliesslich sei im eine zweite Kammer für die Vertretung der Mitgliedländer denkbar
dɛŋkbaɐ	dɛŋkbaʁ	dɛŋkbɑɾ	denkbar	x	Schliesslich sei im eine zweite Kammer für die Vertretung der Mitgliedländer denkbar
paʁlamɛntn	paʁlamɛntən	paɾlamɛntən	Parlamenten	x	Zwischen den nationalen Parlamenten und dem liesse sich die Zusammenarbeit in der Wirtschafts und Fiskalpolitik mit der Bildung eines gemeinsamen ständigen Ausschusses verbessern schreibt die Gruppe
ljɛs	liszə	lisə	liesse	x	Zwischen den nationalen Parlamenten und dem liesse sich die Zusammenarbeit in der Wirtschafts und Fiskalpolitik mit der Bildung eines gemeinsamen ständigen Ausschusses verbessern schreibt die Gruppe
ʃtɛndɪɡn	ʃtɛndɪgən	ʃtɛndɪɡən	ständigen	x	Zwischen den nationalen Parlamenten und dem liesse sich die Zusammenarbeit in der Wirtschafts und Fiskalpolitik mit der Bildung eines gemeinsamen ständigen Ausschusses verbessern schreibt die Gruppe
ʃtabilitɛtsfɔnds	ʃtabilitɛtsfɔnts	ʃtɑbilitɛtsfɔnts	Stabilitätsfonds	x	Aus dem Stabilitätsfonds könne ein europäischer Währungsfonds erwachsen
ɔɪʁopɛɪʃɐ	ɔɔʏʁopɛɪʃɐ	ɔøropɛɪʃɜ	europäischer	x	Aus dem Stabilitätsfonds könne ein europäischer Währungsfonds erwachsen
vɛʁʊŋsfɔnds	vɛʁʊŋsfɔnts	vɛrʊŋsfɔnts	Währungsfonds	x	Aus dem Stabilitätsfonds könne ein europäischer Währungsfonds erwachsen
ɛɐvaksn	ɛɐvaksən	ɛɾvaxzən	erwachsen	x	Aus dem Stabilitätsfonds könne ein europäischer Währungsfonds erwachsen
