grapheme	label	olaph	espeak	gruut	olaph_source	olaph_splits	olaph_per	espeak_per	gruut_per
hipertrofio	ipeɾtɾofjo	ipeɾtɾofjo	ˌipeɾtɾˈofjo	ipeɾtɾofʝo	dict	[]	0.000	0.200	0.100
hipertrofiá	ipeɾtɾofja	ipeɾtɾoˈfja	ˌipeɾtɾofjˈa	ipeɾtɾofʝa	compound	[]	0.100	0.200	0.100
hipertónico	ipeɾtoniko	ipeˈɾtoniko	ˌipeɾtˈoniko	ipeɾtoniko	dict	[]	0.100	0.200	0.000
hiperuricemia	ipeɾuɾiθemja	ipeɾuɾiθemja	ˌipeɾˌuɾiθˈemja	ipeɾuɾiθemʝa	dict	[]	0.000	0.250	0.083
hipervariable	ipeɾbaɾjable	ipeɾbaɾjaβle	ˌipeɾβaɾjˈaβle	ipeɾbaɾʝable	compound	hiper|variable	0.083	0.333	0.083
hiperventilada	ipeɾbentilada	ipeɾbentilaða	ˌipeɾβˌentilˈaða	ipeɾbentilada	compound	hiper|ventilada	0.077	0.385	0.000
hiperventiladas	ipeɾbentiladas	ipeɾbentilaðas	ˌipeɾβˌentilˈaðas	ipeɾbentiladas	compound	hiper|ventiladas	0.071	0.357	0.000
hiperventilado	ipeɾbentilado	ipeɾbentilaðo	ˌipeɾβˌentilˈaðo	ipeɾbentilado	compound	hiper|ventilado	0.077	0.385	0.000
hiperventilados	ipeɾbentilados	ipeɾbentilaðos	ˌipeɾβˌentilˈaðos	ipeɾbentilados	compound	hiper|ventilados	0.071	0.357	0.000
hiperventilar	ipeɾbentilaɾ	ipeɾbentilaɾ	ˌipeɾβˌentilˈaɾ	ipeɾbentilaɾ	compound	hiper|ventilar	0.000	0.333	0.000
hiperviscosidad	ipeɾbiskosidad	ipeɾbiskosiðað	ˌipeɾβˌiskosiðˈad	ipeɾbiskosidad	compound	hiper|viscosidad	0.143	0.357	0.000
hipervisor	ipeɾbisoɾ	ipeɾbisoɾ	ˌipeɾβisˈoɾ	ipeɾbisoɾ	compound	hiper|visor	0.000	0.333	0.000
hipervitaminosis	ipeɾbitaminosis	ipeɾbitaminosis	ˌipeɾβˌitaminˈosis	ipeɾbitaminosis	compound	hiper|vi|ta|minos|is	0.000	0.267	0.000
hipervolémico	ipeɾbolemiko	ipeɾboˈlemiko	ˌipeɾβolˈemiko	ipeɾbolemiko	compound	hiper|volé|mico	0.083	0.250	0.000
hipnosis	ibnosis	ipnosis	ipnˈosis	ipnosis	dict	[]	0.143	0.286	0.143
hipnotizar	ibnotiθaɾ	ipnotiθaɾ	ˌipnotiθˈaɾ	ipnotiθaɾ	dict	[]	0.111	0.333	0.111
hipnótico	ibnotiko	iˈpnotiko	ipnˈotiko	ipnotiko	dict	[]	0.250	0.250	0.125
hipo	ipo	ipo	ˈipo	ipo	dict	[]	0.000	0.333	0.000
hipoacusia	ipoakusja	ipoakusja	ˌipoakˈusja	ipoakusʝa	dict	[]	0.000	0.222	0.111
hipoalbuminemia	ipoalbuminemja	ipoalβuminemia	ˌipoˌalβuminˈemja	ipoalbuminemʝa	compound	hipo|albumine|mi|a	0.143	0.286	0.071
hipoalbuminemias	ipoalbuminemjas	ipoalβuminemias	ˌipoˌalβuminˈemjas	ipoalbuminemʝas	compound	hipo|albumine|mi|as	0.133	0.267	0.067
hipoblasto	ipoblasto	ipoblasto	ˌipoβlˈasto	ipoblasto	compound	hipo|b|lasto	0.000	0.333	0.000
hipobromito	ipobɾomito	ipobromito	ˌipoβɾomˈito	ipobɾomito	compound	hipo|b|ro|mito	0.100	0.300	0.000
hipocalcemia	ipokalθemja	ipokalθemja	ˌipokalθˈemja	ipokalθemʝa	compound	hipo|calcemia	0.000	0.182	0.091
hipocalcemias	ipokalθemjas	ipokalθemjas	ˌipokalθˈemjas	ipokalθemʝas	compound	hipo|calcemias	0.000	0.167	0.083
hipocampal	ipokampal	ipokampal	ˌipokampˈal	ipokampal	compound	hipo|campal	0.000	0.222	0.000
hipocampo	ipokampo	ipokampo	ˌipokˈampo	ipokampo	dict	[]	0.000	0.250	0.000
hipocapnia	ipokabnja	ipokapnja	ˌipokˈapnja	ipokapnʝa	compound	hipo|ca|p|nia	0.111	0.333	0.222
hipocausto	ipokausto	ipokausto	ˌipokˈaʊsto	ipokausto	dict	[]	0.000	0.333	0.000
hipocinesia	ipoθinesja	ipoθinesja	ˌipoθinˈesja	ipoθinesʝa	compound	hipo|cines|ia	0.000	0.200	0.100
hipoclorador	ipokloɾadoɾ	ipokloɾaðoɾ	ˌipoklˌoɾaðˈoɾ	ipokloɾadoɾ	compound	hipo|c|l|orador	0.091	0.364	0.000
hipoclorhidria	ipokloɾidɾja	ipokloɾiðɾja	ˌipokloɾˈiðɾia	ipokloɾidɾʝa	dict	[]	0.083	0.333	0.083
hipocomplementemia	ipokomplementemja	ipokomplementemia	ˌipokˌomplementˈemja	ipokomplementemʝa	compound	hipo|complemente|mi|a	0.059	0.176	0.059
hipocondriaco	ipokondɾjako	ipokondɾjako	ˌipokˌondɾiˈako	ipokondɾʝako	dict	[]	0.000	0.333	0.083
hipocondrio	ipokondɾjo	ipokondɾjo	ˌipokˈondɾio	ipokondɾʝo	dict	[]	0.000	0.300	0.100
hipocondría	ipokondɾia	ipokonˈdɾia	ˌipokondɾˈia	ipokondɾia	dict	[]	0.100	0.200	0.000
hipocondríaco	ipokondɾiako	ipokonˈdɾiako	ˌipokondɾˈiako	ipokondɾiako	compound	hipocondría|co	0.083	0.167	0.000
hipocorística	ipokoɾistika	ipokoˈɾistika	ˌipokoɾˈistika	ipokoɾistika	dict	[]	0.083	0.167	0.000
hipocorísticas	ipokoɾistikas	ipokoˈɾistikas	ˌipokoɾˈistikas	ipokoɾistikas	dict	[]	0.077	0.154	0.000
hipocorístico	ipokoɾistiko	ipokoˈɾistiko	ˌipokoɾˈistiko	ipokoɾistiko	dict	[]	0.083	0.167	0.000
hipocorísticos	ipokoɾistikos	ipokoˈɾistikos	ˌipokoɾˈistikos	ipokoɾistikos	dict	[]	0.077	0.154	0.000
hipocraterimorfo	ipokɾateɾimoɾfo	ipokɾateɾimoɾfo	ˌipokɾˌateɾimˈoɾfo	ipokɾateɾimoɾfo	compound	hipo|c|ra|ter|im|orfo	0.000	0.200	0.000
hipocresía	ipokɾesia	ipokɾeˈsia	ˌipokɾesˈia	ipokɾesia	dict	[]	0.111	0.222	0.000
hipofaringe	ipofaɾinxe	ipofaɾiŋxe	ˌipofaɾˈiŋxe	ipofaɾinxe	compound	hipo|faringe	0.100	0.300	0.000
hipofisaria	ipofisaɾja	ipofjsaɾja	ˌipofisˈaɾja	ipofisaɾʝa	compound	hipo|fi|s|aria	0.100	0.200	0.100
hipofisarias	ipofisaɾjas	ipofjsaɾjas	ˌipofisˈaɾjas	ipofisaɾʝas	compound	hipo|fi|s|arias	0.091	0.182	0.091
hipofisario	ipofisaɾjo	ipofjsaɾjo	ˌipofisˈaɾjo	ipofisaɾʝo	compound	hipo|fi|s|ario	0.100	0.200	0.100
hipofisarios	ipofisaɾjos	ipofjsaɾjos	ˌipofisˈaɾjos	ipofisaɾʝos	compound	hipo|fi|s|arios	0.091	0.182	0.091
hipofisiaria	ipofisjaɾja	ipofisjaɾja	ˌipofisjˈaɾja	ipofisʝaɾʝa	dict	[]	0.000	0.182	0.182
hipofisiarias	ipofisjaɾjas	ipofisjaɾjas	ˌipofisjˈaɾjas	ipofisʝaɾʝas	dict	[]	0.000	0.167	0.167
hipofisiarios	ipofisjaɾjos	ipofisjaɾjos	ˌipofisjˈaɾjos	ipofisʝaɾʝos	dict	[]	0.000	0.167	0.167
hipofrontalidad	ipofɾontalidad	ipofɾontaliðad	ˌipofɾˌontaliðˈad	ipofɾontalidad	compound	hipo|frontal|ida|d	0.071	0.286	0.000
hipogastrio	ipoɡastɾjo	ipoɣastɾjo	ˌipoɣˈastɾio	ipogastɾʝo	dict	[]	0.100	0.400	0.200
hipogeo	ipoxeo	ipoxeo	ˌipoxˈeo	ipoxeo	dict	[]	0.000	0.333	0.000
hipoglosa	ipoɡlosa	ipoɣlosa	ˌipoɣlˈosa	ipoglosa	dict	[]	0.125	0.375	0.125
hipoglosas	ipoɡlosas	ipoɣlosas	ˌipoɣlˈosas	ipoglosas	dict	[]	0.111	0.333	0.111
hipogloso	ipoɡloso	ipoɣloso	ˌipoɣlˈoso	ipogloso	dict	[]	0.125	0.375	0.125
hipoglosos	ipoɡlosos	ipoɣlosos	ˌipoɣlˈosos	ipoglosos	dict	[]	0.111	0.333	0.111
hipoglucemia	ipoɡluθemja	ipoɣluθemja	ˌipoɣluθˈemja	ipogluθemʝa	dict	[]	0.091	0.273	0.182
hipoglucemiante	ipoɡluθemjante	ipoɣluθemjante	ˌipoɣlˌuθemjˈante	ipogluθemʝante	compound	hipoglucemia|nt|e	0.071	0.286	0.143
hipoglucemiantes	ipoɡluθemjantes	ipoɣluθemjantes	ˌipoɣlˌuθemjˈantes	ipogluθemʝantes	compound	hipoglucemia|nt|es	0.067	0.267	0.133
hipoglucemias	ipoɡluθemjas	ipoɣluθemjas	ˌipoɣluθˈemjas	ipogluθemʝas	dict	[]	0.083	0.250	0.167
hipoglucémica	ipoɡluθemika	ipoɡluˈθemika	ˌipoɣluθˈemika	ipogluθemika	compound	[]	0.083	0.250	0.083
hipoglucémicas	ipoɡluθemikas	ipoɡluˈθemikas	ˌipoɣluθˈemikas	ipogluθemikas	compound	[]	0.077	0.231	0.077
hipoglucémico	ipoɡluθemiko	ipoɡluˈθemiko	ˌipoɣluθˈemiko	ipogluθemiko	compound	[]	0.083	0.250	0.083
hipoglucémicos	ipoɡluθemikos	ipoɡluˈθemikos	ˌipoɣluθˈemikos	ipogluθemikos	compound	[]	0.077	0.231	0.077
hipogrifo	ipoɡɾifo	ipoɣɾifo	ˌipoɣɾˈifo	ipogɾifo	dict	[]	0.125	0.375	0.125
hipomagnesemia	ipomaɡnesemja	ipomaɡnesemja	ˌipomˌaɡnesˈemja	ipomagnesemʝa	dict	[]	0.000	0.231	0.154
hipomanía	ipomania	ipomaˈnia	ˌipomanˈia	ipomania	compound	hipo|manía	0.125	0.250	0.000
hipomaníaco	ipomaniako	ipomaˈniako	ˌipomanˈiako	ipomaniako	compound	hipo|manía|co	0.100	0.200	0.000
hiponatremia	iponatɾemja	iponatremia	ˌiponatɾˈemja	iponatɾemʝa	compound	hipo|na|t|re|mi|a	0.182	0.182	0.091
hiponatremias	iponatɾemjas	iponatremias	ˌiponatɾˈemjas	iponatɾemʝas	compound	hipo|na|t|re|mi|as	0.167	0.167	0.083
hipoparatiroidismo	ipopaɾatiɾoidismo	ipopaɾatiɾoiðismo	ˌipopˌaɾatˌiɾoɪðˈismo	ipopaɾatiɾoidismo	compound	hipo|para|tiro|id|is|mo	0.059	0.353	0.000
hipoparatiroidismos	ipopaɾatiɾoidismos	ipopaɾatiɾoiðismos	ˌipopˌaɾatˌiɾoɪðˈismos	ipopaɾatiɾoidismos	compound	hipo|para|tiro|id|is|mos	0.056	0.333	0.000
hipopnea	ipobnea	ipopnea	ˌipopnˈea	ipopnea	compound	hipo|p|nea	0.143	0.429	0.143
hipopotasemia	ipopotasemja	ipopotasemja	ˌipopˌotasˈemja	ipopotasemʝa	compound	hipo|potasemia	0.000	0.250	0.083
hipopotasemias	ipopotasemjas	ipopotasemjas	ˌipopˌotasˈemjas	ipopotasemʝas	compound	hipo|potasemia|s	0.000	0.231	0.077
hipopotasémica	ipopotasemika	ipopotaˈsemika	ˌipopˌotasˈemika	ipopotasemika	compound	hipo|pota|sé|mica	0.077	0.231	0.000
hipopotasémicas	ipopotasemikas	ipopotaˈsemikas	ˌipopˌotasˈemikas	ipopotasemikas	compound	hipo|pota|sé|micas	0.071	0.214	0.000
hipopotasémico	ipopotasemiko	ipopotaˈsemiko	ˌipopˌotasˈemiko	ipopotasemiko	compound	hipo|pota|sé|mico	0.077	0.231	0.000
hipopotasémicos	ipopotasemikos	ipopotaˈsemikos	ˌipopˌotasˈemikos	ipopotasemikos	compound	hipo|pota|sé|micos	0.071	0.214	0.000
hipopótamo	ipopotamo	ipoˈpotamo	ˌipopˈotamo	ipopotamo	dict	[]	0.111	0.222	0.000
hiposexual	iposeɡswal	iposekswal	ˌiposekswˈal	iposekswal	compound	hipo|sexual	0.100	0.300	0.100
hiposexualidad	iposeɡswalidad	iposekswaliðað	ˌiposˌekswaliðˈad	iposekswalidad	compound	hipo|sexualidad	0.214	0.357	0.071
hipostoma	ipostoma	ipostoma	ˌipostˈoma	ipostoma	compound	hipos|toma	0.000	0.250	0.000
hipotalámico	ipotalamiko	ipotaˈlamiko	ˌipotalˈamiko	ipotalamiko	compound	hipo|t|alá|mico	0.091	0.182	0.000
hipoteca	ipoteka	ipoteka	ˌipotˈeka	ipoteka	dict	[]	0.000	0.286	0.000
hipotecada	ipotekada	ipotekaða	ˌipotekˈaða	ipotekada	dict	[]	0.111	0.333	0.000
hipotecadas	ipotekadas	ipotekaðas	ˌipotekˈaðas	ipotekadas	dict	[]	0.100	0.300	0.000
hipotecado	ipotekado	ipotekaðo	ˌipotekˈaðo	ipotekado	dict	[]	0.111	0.333	0.000
hipotecados	ipotekados	ipotekaðos	ˌipotekˈaðos	ipotekados	dict	[]	0.100	0.300	0.000
hipotecar	ipotekaɾ	ipotekaɾ	ˌipotekˈaɾ	ipotekaɾ	dict	[]	0.000	0.250	0.000
hipotenar	ipotenaɾ	ipotenar	ˌipotenˈaɾ	ipotenaɾ	compound	hipo|tena|r	0.125	0.250	0.000
hipotensión	ipotensjon	ipotenˈsjon	ˌipotensjˈon	ipotensʝon	dict	[]	0.100	0.200	0.100
hipotenso	ipotenso	ipotenso	ˌipotˈɛnso	ipotenso	compound	hipo|tenso	0.000	0.375	0.000
hipotensor	ipotensoɾ	ipotensoɾ	ˌipotensˈoɾ	ipotensoɾ	compound	hipo|tensor	0.000	0.222	0.000
hipotermia	ipoteɾmja	ipoteɾmja	ˌipotˈeɾmja	ipoteɾmʝa	dict	[]	0.000	0.222	0.111
hipotetizar	ipotetiθaɾ	ipotetiθar	ˌipotˌetiθˈaɾ	ipotetiθaɾ	compound	hipo|te|tiza|r	0.100	0.300	0.000
hipotálamo	ipotalamo	ipoˈtalamo	ˌipotˈalamo	ipotalamo	dict	[]	0.111	0.222	0.000
hipotético	ipotetiko	ipoˈtetiko	ˌipotˈetiko	ipotetiko	dict	[]	0.111	0.222	0.000
hipoventilación	ipobentilaθjon	ipobentilaˈθjon	ˌipoβˌentilaθjˈon	ipobentilaθʝon	compound	hipo|ventilación	0.071	0.286	0.071
hipovitaminosis	ipobitaminosis	ipobitaminosis	ˌipoβˌitaminˈosis	ipobitaminosis	compound	hipo|vi|ta|minos|is	0.000	0.286	0.000
hipovolemia	ipobolemja	ipoβolemja	ˌipoβolˈemja	ipobolemʝa	compound	hipo|v|ol|em|ia	0.100	0.300	0.100
hipovolemias	ipobolemjas	ipoβolemjas	ˌipoβolˈemjas	ipobolemʝas	compound	hipo|v|ol|em|ia|s	0.091	0.273	0.091
hipovolémica	ipobolemika	ipoboˈlemika	ˌipoβolˈemika	ipobolemika	compound	hipo|volé|mica	0.091	0.273	0.000
hipovolémicas	ipobolemikas	ipoboˈlemikas	ˌipoβolˈemikas	ipobolemikas	compound	hipo|volé|micas	0.083	0.250	0.000
hipovolémico	ipobolemiko	ipoboˈlemiko	ˌipoβolˈemiko	ipobolemiko	compound	hipo|volé|mico	0.091	0.273	0.000
hipovolémicos	ipobolemikos	ipoboˈlemikos	ˌipoβolˈemikos	ipobolemikos	compound	hipo|volé|micos	0.083	0.250	0.000
hipoxantina	ipoɡsantina	ipoɡsantina	ˌipoksantˈina	ipoksantina	dict	[]	0.000	0.273	0.091
hipoxia	ipoɡsja	ipoɡsja	ipˈoksja	ipoksʝa	dict	[]	0.000	0.286	0.286
hippie	xipi	ipje	ˈippje	ippʝe	compound	hi|p|pie	0.750	1.000	1.000
hippismo	ipismo	ipismo	ippˈismo	ippismo	dict	[]	0.000	0.333	0.167
hipsilofodóntido	ibsilofodontido	ibsilofoˈdontido	ˌipsilˌofoðˈontiðo	ipsilofodontido	compound	[]	0.067	0.400	0.067
hipsometría	ibsometɾia	ipsomeˈtɾia	ˌipsometɾˈia	ipsometɾia	dict	[]	0.200	0.300	0.100
hipsométrico	ibsometɾiko	ipsoˈmetɾiko	ˌipsomˈetɾiko	ipsometɾiko	dict	[]	0.182	0.273	0.091
hipster	xibsteɾ	ipster	ipstˈeɾ	ipsteɾ	compound	hi|p|ste|r	0.429	0.429	0.286
hipsómetro	ibsometɾo	iˈpsometɾo	ipsˈometɾo	ipsometɾo	dict	[]	0.222	0.222	0.111
hipsómetros	ibsometɾos	iˈpsometɾos	ipsˈometɾos	ipsometɾos	dict	[]	0.200	0.200	0.100
hipérbato	ipeɾbato	iˈpeɾβato	ipˈeɾβato	ipeɾbato	dict	[]	0.250	0.250	0.000
hipérbaton	ipeɾbaton	iˈpeɾβaton	ipˈeɾβaton	ipeɾbaton	dict	[]	0.222	0.222	0.000
hipérbola	ipeɾbola	iˈpeɾβola	ipˈeɾβola	ipeɾbola	dict	[]	0.250	0.250	0.000
hipérbole	ipeɾbole	iˈpeɾβole	ipˈeɾβole	ipeɾbole	dict	[]	0.250	0.250	0.000
hipócrita	ipokɾita	iˈpokɾita	ipˈokɾita	ipokɾita	dict	[]	0.125	0.125	0.000
hipócritas	ipokɾitas	iˈpokɾitas	ipˈokɾitas	ipokɾitas	dict	[]	0.111	0.111	0.000
hipódromo	ipodɾomo	iˈpoðɾomo	ipˈoðɾomo	ipodɾomo	dict	[]	0.250	0.250	0.000
hipófisis	ipofisis	iˈpofisis	ipˈofisis	ipofisis	dict	[]	0.125	0.125	0.000
hipógino	ipoxino	iˈpoxino	ipˈoxino	ipoxino	compound	hipó|gi|no	0.143	0.143	0.000
hipónimo	iponimo	iˈponimo	ipˈonimo	iponimo	compound	hipó|ni|mo	0.143	0.143	0.000
hipótesis	ipotesis	iˈpotesis	ipˈotesis	ipotesis	dict	[]	0.125	0.125	0.000
hircano	iɾkano	iɾkano	iɾkˈano	iɾkano	dict	[]	0.000	0.167	0.000
hiriente	iɾjente	iɾjente	iɾjˈɛnte	iɾʝente	dict	[]	0.000	0.286	0.143
hirmar	iɾmaɾ	iɾmaɾ	iɾmˈaɾ	iɾmaɾ	dict	[]	0.000	0.200	0.000
hirsutismo	iɾsutismo	iɾsutizmo	ˌiɾsutˈismo	iɾsutismo	dict	[]	0.111	0.222	0.000
hirviendo	iɾbjendo	iɾβjendo	iɾβjˈɛndo	iɾbʝendo	dict	[]	0.125	0.375	0.125
hirviente	iɾbjente	iɾβjente	iɾβjˈɛnte	iɾbʝente	dict	[]	0.125	0.375	0.125
hisopada	isopada	isopaða	ˌisopˈaða	isopada	dict	[]	0.143	0.429	0.000
hisopadas	isopadas	isopaðas	ˌisopˈaðas	isopadas	dict	[]	0.125	0.375	0.000
hisopado	isopado	isopaðo	ˌisopˈaðo	isopado	dict	[]	0.143	0.429	0.000
hisopados	isopados	isopaðos	ˌisopˈaðos	isopados	dict	[]	0.125	0.375	0.000
hisopar	isopaɾ	isopaɾ	ˌisopˈaɾ	isopaɾ	dict	[]	0.000	0.333	0.000
hisopillo	isopiʝo	isopiʎo	ˌisopˈiʎo	isopiʎo	dict	[]	0.143	0.429	0.143
hisopo	isopo	isopo	isˈopo	isopo	dict	[]	0.000	0.200	0.000
hispalense	ispalense	ispalense	ˌispalˈɛnse	ispalense	dict	[]	0.000	0.333	0.000
hispana	ispana	ispana	ispˈana	ispana	dict	[]	0.000	0.167	0.000
hispanas	ispanas	ispanas	ispˈanas	ispanas	dict	[]	0.000	0.143	0.000
hispanización	ispaniθaθjon	ispaniθaθjon	ˌispanˌiθaθjˈon	ispaniθaθʝon	compound	hispaniza|ción	0.000	0.250	0.083
hispanizar	ispaniθaɾ	ispaniθaɾ	ˌispaniθˈaɾ	ispaniθaɾ	dict	[]	0.000	0.222	0.000
hispano	ispano	ispano	ispˈano	ispano	dict	[]	0.000	0.167	0.000
hispanoamericana	ispanoameɾikana	ispanoameɾikana	ˌispanˌoamˌeɾikˈana	ispanoameɾikana	dict	[]	0.000	0.267	0.000
hispanoamericanas	ispanoameɾikanas	ispanoameɾikanas	ˌispanˌoamˌeɾikˈanas	ispanoameɾikanas	dict	[]	0.000	0.250	0.000
hispanoamericano	ispanoameɾikano	ispanoameɾikano	ˌispanˌoamˌeɾikˈano	ispanoameɾikano	dict	[]	0.000	0.267	0.000
hispanoamericanos	ispanoameɾikanos	ispanoameɾikanos	ˌispanˌoamˌeɾikˈanos	ispanoameɾikanos	dict	[]	0.000	0.250	0.000
hispanoflamenco	ispanoflamenko	ispanoflameŋko	ˌispanˌoflamˈɛnko	ispanoflamenko	compound	hispano|flamenco	0.071	0.286	0.000
hispanofobia	ispanofobja	ispanofoβja	ˌispanofˈoβja	ispanofobʝa	compound	hispano|fobia	0.091	0.273	0.091
hispanohablante	ispanoablante	ispanoaβlante	ˌispanˌoaβlˈante	ispanoablante	dict	[]	0.077	0.308	0.000
hispanomarroquí	ispanomaroki	ispanomaroˈki	ˌispanˌomaɾɾokˈi	ispanomaroki	compound	hispano|marroquí	0.083	0.417	0.000
hispanomusulmán	ispanomusulman	ispanomusuˈlman	ˌispanˌomusulmˈan	ispanomusulman	compound	hispano|musulmán	0.071	0.214	0.000
hispanoparlante	ispanopaɾlante	ispanopaɾlante	ˌispanˌopaɾlˈante	ispanopaɾlante	compound	hispano|parlante	0.000	0.214	0.000
hispanos	ispanos	ispanos	ispˈanos	ispanos	dict	[]	0.000	0.143	0.000
hispánico	ispaniko	iˈspaniko	ispˈaniko	ispaniko	dict	[]	0.125	0.125	0.000
histamina	istamina	istamina	ˌistamˈina	istamina	dict	[]	0.000	0.250	0.000
histerectomía	isteɾeɡtomia	isteɾeɡtomia	ˌisteɾˌektomˈia	isteɾektomia	dict	[]	0.000	0.333	0.083
histeria	isteɾja	isteɾja	istˈeɾja	isteɾʝa	dict	[]	0.000	0.143	0.143
histología	istoloxia	istoloˈxia	ˌistoloxˈia	istoloxia	dict	[]	0.111	0.222	0.000
histoquímica	istokimika	istoˈkimika	ˌistokˈimika	istokimika	compound	hi|s|to|química	0.100	0.200	0.000
histoquímicas	istokimikas	istoˈkimikas	ˌistokˈimikas	istokimikas	compound	hi|s|to|químicas	0.091	0.182	0.000
histoquímico	istokimiko	istoˈkimiko	ˌistokˈimiko	istokimiko	compound	hi|s|to|químico	0.100	0.200	0.000
histoquímicos	istokimikos	istoˈkimikos	ˌistokˈimikos	istokimikos	compound	hi|s|to|químicos	0.091	0.182	0.000
historia	istoɾja	istoɾja	istˈoɾja	istoɾʝa	dict	[]	0.000	0.143	0.143
historiada	istoɾjada	istoɾjaða	ˌistoɾjˈaða	istoɾʝada	dict	[]	0.111	0.333	0.111
historiadas	istoɾjadas	istoɾjaðas	ˌistoɾjˈaðas	istoɾʝadas	dict	[]	0.100	0.300	0.100
historiado	istoɾjado	istoɾjaðo	ˌistoɾjˈaðo	istoɾʝado	dict	[]	0.111	0.333	0.111
historiador	istoɾjadoɾ	istoɾjaðoɾ	ˌistoɾjaðˈoɾ	istoɾʝadoɾ	dict	[]	0.100	0.300	0.100
historiados	istoɾjados	istoɾjaðos	ˌistoɾjˈaðos	istoɾʝados	dict	[]	0.100	0.300	0.100
historiar	istoɾjaɾ	istoɾjaɾ	ˌistoɾjˈaɾ	istoɾʝaɾ	dict	[]	0.000	0.250	0.125
historicidad	istoɾiθidad	istoɾiθiðað	ˌistoɾˌiθiðˈad	istoɾiθidad	dict	[]	0.182	0.364	0.000
historicidades	istoɾiθidades	istoɾiθiðaðes	ˌistoɾˌiθiðˈaðes	istoɾiθidades	dict	[]	0.154	0.385	0.000
historietístico	istoɾjetistiko	istoɾjeˈtistiko	ˌistoɾjetˈistiko	istoɾʝetistiko	compound	[]	0.071	0.143	0.071
historificar	istoɾifikaɾ	istoɾifikaɾ	ˌistoɾˌifikˈaɾ	istoɾifikaɾ	dict	[]	0.000	0.273	0.000
historiografía	istoɾjoɡɾafia	istoɾjoɣɾaˈfia	ˌistoɾjˌoɣɾafˈia	istoɾʝogɾafia	dict	[]	0.154	0.308	0.154
historizar	istoɾiθaɾ	istoriθaɾ	ˌistoɾiθˈaɾ	istoɾiθaɾ	compound	hi|s|to|rizar	0.111	0.222	0.000
historiá	istoɾja	istoˈɾja	ˌistoɾjˈa	istoɾʝa	compound	[]	0.143	0.286	0.143
historía	istoɾia	istoɾia	ˌistoɾˈia	istoɾia	dict	[]	0.000	0.286	0.000
histrión	istɾjon	iˈstɾjon	ˌistɾiˈon	istɾʝon	dict	[]	0.143	0.429	0.143
histérica	isteɾika	iˈsteɾika	istˈeɾika	isteɾika	dict	[]	0.125	0.125	0.000
histéricas	isteɾikas	iˈsteɾikas	istˈeɾikas	isteɾikas	dict	[]	0.111	0.111	0.000
histérico	isteɾiko	iˈsteɾiko	istˈeɾiko	isteɾiko	dict	[]	0.125	0.125	0.000
histéricos	isteɾikos	iˈsteɾikos	istˈeɾikos	isteɾikos	dict	[]	0.111	0.111	0.000
histórica	istoɾika	iˈstoɾika	istˈoɾika	istoɾika	dict	[]	0.125	0.125	0.000
históricamente	istoɾikamente	iˈstoɾikamente	istˈoɾikamˈente	istoɾikamente	dict	[]	0.077	0.154	0.000
históricas	istoɾikas	iˈstoɾikas	istˈoɾikas	istoɾikas	dict	[]	0.111	0.111	0.000
histórico	istoɾiko	iˈstoɾiko	istˈoɾiko	istoɾiko	dict	[]	0.125	0.125	0.000
históricos	istoɾikos	iˈstoɾikos	istˈoɾikos	istoɾikos	dict	[]	0.111	0.111	0.000
hit	xit	it	ˈit	it	compound	hi|t	0.333	0.333	0.333
hitazo	itaθo	itaθo	itˈaθo	itaθo	compound	hita|zo	0.000	0.200	0.000
hitazos	itaθos	itaθos	itˈaθos	itaθos	compound	hita|zo|s	0.000	0.167	0.000
hitita	itita	itita	itˈita	itita	dict	[]	0.000	0.200	0.000
hitleriana	itleɾjana	itleɾjana	ˌitleɾjˈana	itleɾʝana	compound	hi|t|le|ria|na	0.000	0.222	0.111
hitlerianas	itleɾjanas	itleɾjanas	ˌitleɾjˈanas	itleɾʝanas	compound	hi|t|le|ria|nas	0.000	0.200	0.100
hitleriano	itleɾjano	itleɾjano	ˌitleɾjˈano	itleɾʝano	compound	hi|t|le|ria|no	0.000	0.222	0.111
hitlerianos	itleɾjanos	itleɾjanos	ˌitleɾjˈanos	itleɾʝanos	compound	hi|t|le|ria|nos	0.000	0.200	0.100
hitlerismo	xitleɾismo	itlerismo	ˌitleɾˈismo	itleɾismo	compound	hi|t|le|ris|mo	0.200	0.200	0.100
hito	ito	ito	ˈito	ito	dict	[]	0.000	0.333	0.000
hiyab	iʝab	iʝab	ijjˈab	ʝʝab	compound	hi|ya|b	0.000	0.750	0.250
hizo	iθo	iθo	ˈiθo	iθo	dict	[]	0.000	0.333	0.000
hiénido	ʝenido	ˈʝenido	jˈeniðo	ʝenido	compound	[]	0.167	0.500	0.000
hmong	mon	monx	ˈatʃemˈoŋ	mong	compound	h|mon|g	0.333	2.333	0.333
hoacín	oaθin	oaˈθin	ˌoaθˈin	oaθin	compound	[]	0.200	0.400	0.000
hoatzín	oatθin	oatˈθin	ˌoatθˈin	oatθin	compound	[]	0.167	0.333	0.000
hobbit	obbit	obbit	obβˈit	obbit	dict	[]	0.000	0.400	0.000
hobby	xobi	obbi	ˈobβi	obbʝ	compound	ho|b|b|y	0.500	0.500	0.750
hocicar	oθikaɾ	oθikaɾ	ˌoθikˈaɾ	oθikaɾ	dict	[]	0.000	0.333	0.000
hocico	oθiko	oθiko	oθˈiko	oθiko	dict	[]	0.000	0.200	0.000
